date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:46	17108/17108	---M--	200	added ('OK')	image/gif	date:Sun,%2028%20Feb%202016%2004:22:06%20GMT	http://cosmosholiday.com.bd/img/cosmos-logo.gif	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/cosmos-logo.gif	(from http://cosmosholiday.com.bd/)
18:30:48	47804/47804	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:30:38%20GMT	http://cosmosholiday.com.bd/about	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/about.html	(from http://cosmosholiday.com.bd/)
18:30:48	183046/183046	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:30:36%20GMT	http://cosmosholiday.com.bd/index	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/index-2.html	(from http://cosmosholiday.com.bd/)
18:30:50	46471/46471	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:30:41%20GMT	http://cosmosholiday.com.bd/search	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/search.html	(from http://cosmosholiday.com.bd/)
18:30:52	51103/51103	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:30:39%20GMT	http://cosmosholiday.com.bd/gallery	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/gallery.html	(from http://cosmosholiday.com.bd/)
18:30:54	5014/5014	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Feb%202016%2008:55:28%20GMT	http://cosmosholiday.com.bd/img/service/about.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/service/about.jpg	(from http://cosmosholiday.com.bd/)
18:31:02	50215/50215	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:30:49%20GMT	http://cosmosholiday.com.bd/hotelbooking	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/hotelbooking.html	(from http://cosmosholiday.com.bd/)
18:31:04	3508/3508	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Feb%202016%2008:53:48%20GMT	http://cosmosholiday.com.bd/img/service/service.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/service/service.jpg	(from http://cosmosholiday.com.bd/)
18:31:08	46752/46752	---MC-	200	added ('OK')	text/html	date:Tue,%2004%20Apr%202017%2012:30:59%20GMT	http://cosmosholiday.com.bd/transport	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/transport.html	(from http://cosmosholiday.com.bd/)
18:31:10	4099/4099	---M--	200	added ('OK')	image/jpeg	date:Thu,%2011%20Feb%202016%2008:53:36%20GMT	http://cosmosholiday.com.bd/img/service/portfolio.jpg	C:/Users/Shakawat/Desktop/cos/cosmosholiday.com.bd/img/service/portfolio.jpg	(from http://cosmosholiday.com.bd/)
